cell_feature_1,cell_feature_2,cell_feature_3,cell_feature_4,cell_feature_5,cell_feature_6,cell_type
-8.969498938814096,-6.294874219413105,-0.6092924825087253,-0.5389875509832583,3.0451124317152996,3.944127704937645,D
3.559446826744032,-8.800390709203553,-9.503686711618649,3.7432878063025816,-5.254547160858286,-0.5287531501302094,unknown
4.1980478367744505,-7.418047013164798,-8.44995952543169,3.3768906400910472,-7.041191786920239,0.5861144419407895,unknown
-1.5801889351019531,4.640503793147085,-3.7022960572188652,7.572398036039542,6.572311419453071,-2.3153475720890024,unknown
-1.7624274241598734,5.716516969540799,-3.511441278891763,9.449468844135009,6.463332278508955,-3.5106247065881266,unknown
-8.860248311727887,-6.236243992921196,-0.1117044410858677,-0.9670391589143515,4.882623553148887,3.3290876619174488,unknown
-5.055256819707576,-6.04096620159025,6.961749714794923,0.4865595187369251,3.0398015220484758,-4.712467619659424,unknown
-2.2200593672739974,3.1087856993951486,-5.385309703256013,6.609767088826095,5.33301601900832,-2.97715014479783,unknown
-5.044601076028078,-6.362059717124095,6.648261060335007,-1.360016233272194,2.297451797630408,-4.964244004624589,unknown
-10.563929662138788,-8.012643273912287,0.7816715012100687,-0.07766052963043035,3.555778043374087,4.073035389571652,unknown
4.955372000825134,-10.341863631648875,-11.31459096791871,1.8867508228184826,-7.91967445850304,-0.32867109805598516,A
-5.263780430518462,-8.714880514540003,10.673889527895424,-4.405148979902734,1.9155982203697013,-10.462086676034893,unknown
-9.0368818764582,-6.511573647711195,1.4294609929828663,-0.8353320476188604,1.6385597557640241,2.176951106353105,unknown
-4.053513372403579,-4.715509988047857,6.811552126281135,-1.2964960214767538,3.0139897356988077,-5.781876599479318,unknown
-4.670978758676885,-7.8533031948356795,9.47401669100898,-3.6551678280071713,1.764368771921009,-11.379647184384147,unknown
4.957960739591601,-8.065667020643936,-9.167240606547875,0.6167112866698119,-7.836838704756368,-0.7627882262055667,unknown
-4.012029308821071,-8.341793679202997,8.969332059619376,-4.810460918952892,2.668484520397711,-9.957707350656653,unknown
-8.623158585276954,-5.087780758858141,0.5926284638420335,-2.4712504778766853,4.112933529901408,4.49013959886621,unknown
-3.9948778642536764,-5.77825168595223,11.162487231941453,-6.087662752308903,2.5801789538341025,-8.932604830194983,unknown
2.1358799065691163,-8.40552381854761,-11.323172066940362,3.450497680355029,-5.484911353249811,-2.2890329260846247,unknown
